reliability_prob,cost,approved,expected_strength,strength_std,true_strength
1.0,405.38,True,53.76390636059793,4.073679582934393,52.908319811999995
1.0,601.774,True,45.49828001760835,1.4828135450460609,55.89581932
1.0,680.8839999999999,True,71.89900548221891,2.8631760394446952,74.4978818
0.101,601.774,False,32.507937863941066,1.8969772638025582,35.3011712
0.0,325.37,False,10.575252589212937,3.4931714454898226,10.53519328
1.0,489.70599999999996,True,47.52647601442692,1.3527569652691327,44.284354003999994
0.0,366.73,False,28.14205573371857,1.5084118074645438,23.69039536
1.0,440.29140000000007,True,52.33454189547548,2.7518052792582988,45.3675208
0.416,391.51,False,34.60708607522339,1.4731632203415896,37.404073
1.0,481.23,True,45.1986201188846,1.9216808302071178,48.846616696
0.982,445.88,True,41.44816384078906,3.0283680853407517,25.0969264
0.0,337.452,False,8.061062435911069,2.828625579298576,10.730314988
0.993,774.6080000000001,True,46.58567983343377,4.9795727050275245,40.1964508
0.999,598.5680000000001,True,43.87481072126898,2.830284213705164,49.80085148
0.002,374.6067,False,30.269239065771217,1.7428723302853677,33.00521612
0.0,482.41200000000003,False,23.421315497204144,2.3911595473017595,21.917063088
0.59,467.80000000000007,False,35.414971647620504,2.19342655818589,40.0585556
0.0,419.22,False,19.192298632133607,1.5935814571681273,19.35014394
0.159,476.40000000000003,False,32.75543035407656,2.1637896512091372,37.16965116
0.003,398.6506,False,30.705833801558043,1.5839281929097098,33.08795324
0.919,451.942,False,37.212335189369576,1.571896917011926,31.38150014
0.734,305.0441,False,37.62812855827757,4.238526379720558,37.9556538
1.0,461.1844,True,47.089223972473874,1.3484710424483144,48.718374159999996
0.0,377.345,False,9.261111827324822,2.6491613960873495,6.902344236
0.312,417.7173,False,34.2222196774557,1.6142305894148115,38.60376124
0.999,438.1446000000001,True,38.91336372033483,1.5077293484891179,30.84715624
0.0,324.11,False,10.28088944897474,2.1830795220786783,11.169511199999999
1.0,511.83,True,47.7092462748728,1.8053338342235674,41.05140104
1.0,416.43910000000005,True,53.063855259871204,2.2527436875196822,52.95865156
0.0,428.42,False,14.365150441702099,1.5840688867515011,13.22414968
1.0,497.5,True,44.90297479737906,2.4420132883390098,52.30364936
0.921,481.23,False,36.92939275167848,1.355160302844972,39.604880392
0.996,437.855,True,44.913339523353464,3.588761080581625,51.863763672
1.0,440.12149999999997,True,55.47326320407292,2.972994204127879,66.42411784
0.0,399.2356,False,15.957301413788468,2.4687002595294265,14.94094492
0.9,482.33,False,38.1859868674684,2.4968362593302116,33.019005639999996
0.4,383.3437,False,34.68878190562646,1.4776134087977801,31.640053639999998
1.0,485.089,True,44.43461308058943,1.4248802619604073,39.421479776
0.0,323.25,False,12.635362604913777,2.164484297361955,13.664035367999999
1.0,470.5825,True,49.17233650442852,1.470562070247586,51.95891136
0.0,395.34,False,16.872735311346315,1.1485033215697007,15.575262839999999
0.0,294.505,False,5.450512005635037,2.765002204375594,6.280436883999999
0.97,356.9150000000001,True,38.715708523903835,2.0257670871599314,38.074243671999994
1.0,587.52,True,51.3936814268202,1.6909003903373199,50.23522136
0.0,379.96720000000005,False,12.036420857870283,2.0000192981078158,10.0318758
1.0,604.941,True,74.30671939327283,1.306256322905559,63.3973182
0.996,610.93,True,45.2704336578493,4.182494193448015,55.55108132
0.92,397.93000000000006,False,38.55483763863569,2.6538844799746064,36.14922668
0.0,393.58,False,25.49447981737083,1.4265977766639981,21.7529678
0.0,335.35,False,7.142705365919859,2.5897276579658044,4.827710952
1.0,512.1,True,50.193785683693015,1.5227593056723594,57.21271848
1.0,402.505,True,44.93909386087549,1.9491979577558103,47.782065751999994
0.0,411.71,False,26.735126653971314,3.0095578468485615,29.41304616
0.0,406.492,False,15.577034744715863,1.9995562831234,12.37264682
0.981,607.95,True,44.19622867257708,4.396038538396814,64.0178466
0.131,604.941,False,32.72392998644524,1.972491547154096,34.39795764
0.0,391.51,False,27.694468350908288,1.5434448084064665,25.3727168
