cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,log_age,water_cement_ratio,scm_fraction,compressive_strength
158.6,148.9,116.0,175.1,15.0,953.3,719.7,28,3.367295829986474,1.1040353089526458,0.6255017709561687,27.681082448
424.0,22.0,132.0,178.0,8.48,822.0,750.0,28,3.367295829986474,0.41981132075461797,0.26643598615912345,62.052839999999996
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,3,1.3862943611198906,0.5797796924417131,0.3061147268048267,23.80071152
252.0,97.0,76.0,194.0,8.0,835.0,821.0,28,3.367295829986474,0.7698412698409643,0.407058823529316,33.398217439999996
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3,1.3862943611198906,0.9375296068208567,0.49640673922752454,7.3980774799999995
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,28,3.367295829986474,0.9349983460133781,0.47937656075074503,27.77209328
154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28,3.367295829986474,1.2487080103351107,0.5422826729744109,18.287661424
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,56,4.04305126783455,1.010728528899056,0.5825106113545991,48.587373719999995
212.0,141.3,0.0,203.5,0.0,973.4,750.0,90,4.51085950651685,0.9599056603769057,0.3999433908858195,39.700028079999996
102.0,153.0,0.0,192.0,0.0,887.0,942.0,3,1.3862943611198906,1.8823529411746251,0.5999999999997647,4.565020596
134.7,0.0,165.7,180.2,10.0,961.0,804.9,28,3.367295829986474,1.3377876763167502,0.55159786950714,13.293786756
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,56,4.04305126783455,0.7496916895410153,0.3199599610430906,36.96970312
350.0,0.0,0.0,203.0,0.0,974.0,775.0,14,2.70805020110221,0.5799999999998343,0.0,22.53207568
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,3.367295829986474,0.4547710976281151,0.3426395939085673,71.29871315999999
491.0,26.0,123.0,210.0,3.93,882.0,699.0,3,1.3862943611198906,0.42769857433799846,0.23281249999996362,25.60910856945864
275.0,180.0,120.0,162.0,10.35,830.0,765.0,28,3.367295829986474,0.589090909090695,0.5217391304346918,76.23536132
359.0,19.0,141.0,154.0,10.91,942.0,801.0,28,3.367295829986474,0.4289693593313568,0.30828516377643383,62.935369279999996
238.0,0.0,0.0,185.0,0.0,1118.0,789.0,28,3.367295829986474,0.7773109243694213,0.0,17.54026944
313.3,145.0,0.0,178.5,8.0,1001.9,688.7,28,3.367295829986474,0.5697414618574626,0.31638664630148017,41.053469468
290.2,193.5,0.0,185.7,0.0,998.2,704.3,7,2.0794415416798357,0.6399035148171468,0.4000413479428572,21.859147104
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,56,4.04305126783455,0.8502058383229557,0.3644526372122363,47.13257936
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,3.367295829986474,1.4329427083324004,0.6254572055594672,16.503987012
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,14,2.70805020110221,0.8503204791421403,0.3967418864096106,22.718234199999998
143.0,169.0,143.0,191.0,8.0,967.0,643.0,28,3.367295829986474,1.3356643356634017,0.6857142857141351,29.72331036
238.05,0.0,94.11,186.66,7.0,949.91,847.01,3,1.3862943611198906,0.7841209829864381,0.28332731213864304,19.93275116
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,7,2.0794415416798357,1.1693954659942258,0.5999999999998489,9.617500724000001
374.0,0.0,0.0,190.0,7.0,1013.0,730.0,28,3.367295829986474,0.5080213903741957,0.0,39.05192064
288.0,121.0,0.0,177.0,7.0,908.0,829.0,28,3.367295829986474,0.61458333333312,0.2958435207823238,42.13387836
192.0,288.0,0.0,192.0,0.0,929.8,716.1,28,3.367295829986474,0.9999999999994792,0.599999999999875,39.321505756
307.0,0.0,0.0,193.0,0.0,968.0,812.0,180,5.198497031265826,0.6286644951138017,0.0,34.48758952
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,1.3862943611198906,0.40633041688100713,0.19991764463656578,28.096147
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,2.0794415416798357,0.47999999999989895,0.0,38.60376124
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,56,4.04305126783455,0.9494641004950161,0.5630036261078356,53.77223324
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,3,1.3862943611198906,0.9350142825747447,0.4787240135156982,7.3153403599999995
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,2.0794415416798357,0.5999999999998421,0.1999999999999579,32.823194456
305.3,203.5,0.0,203.5,0.0,965.4,631.0,28,3.367295829986474,0.6665574844413146,0.39996069182382077,43.377003588
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,270,5.602118820879701,0.39999999999992003,0.0,55.15808
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,3.367295829986474,1.6943450250524739,0.6760955251563469,35.225328839999996
425.0,106.3,0.0,151.4,18.6,936.0,803.7,91,4.5217885770490405,0.3562352941175633,0.2000752870317711,66.69990824
159.0,209.0,161.0,201.0,7.0,848.0,669.0,28,3.367295829986474,1.2641509433954314,0.6994328922493951,30.881630039999997
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91,4.5217885770490405,0.5054139015017445,0.4123563218389958,76.80073164
153.0,102.0,0.0,192.0,0.0,888.0,943.1,28,3.367295829986474,1.2549019607834937,0.39999999999984315,17.96429718
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270,5.602118820879701,0.6666666666664718,0.0999999999999737,55.064311264
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,4.04305126783455,0.36117647058815033,0.2000752870317711,64.30053176
255.3,98.8,77.0,188.6,6.5,919.0,749.3,28,3.367295829986474,0.7387387387384493,0.4077940153095784,33.798802996
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,28,3.367295829986474,0.7241686182666398,0.4493732913807063,45.939785879999995
321.0,0.0,128.0,182.0,11.0,870.0,780.0,28,3.367295829986474,0.5669781931462409,0.2850779510021637,37.25928304
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,28,3.367295829986474,0.8753283597767809,0.3967418864096106,24.84871504
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,28,3.367295829986474,0.7241976232802825,0.4498043657329979,40.14818748
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,3,1.3862943611198906,0.7496706192354838,0.3207836619897342,13.54130864
236.0,157.0,0.0,192.0,0.0,972.6,749.1,28,3.367295829986474,0.8135593220335536,0.3994910941474811,32.88455782
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,3,1.3862943611198906,0.7241976232802825,0.4498043657329979,17.57474324
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,28,3.367295829986474,1.062436028658521,0.4957189701237261,21.53923024
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,14,2.70805020110221,0.8502058383229557,0.3644526372122363,17.83674412
333.0,0.0,0.0,192.0,0.0,931.2,842.6,7,2.0794415416798357,0.5765765765764035,0.0,23.404952295999998
491.0,26.0,123.0,210.0,3.93,882.0,699.0,28,3.367295829986474,0.42769857433799846,0.23281249999996362,55.55108132
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,28,3.367295829986474,0.9973147153592926,0.39993554624544,17.596806471999997
296.0,0.0,106.7,221.4,10.5,819.2,778.4,28,3.367295829986474,0.7479729729727204,0.2649615098087249,31.420110796000003
250.0,0.0,95.69,187.42,5.53,956.86,861.17,3,1.3862943611198906,0.7496799999997001,0.2768087014376242,13.817099039999999
366.0,187.0,0.0,191.3,6.6,824.3,756.9,28,3.367295829986474,0.5226775956282725,0.3381555153706441,65.909079268
315.0,137.0,0.0,145.0,5.9,1130.0,745.0,28,3.367295829986474,0.4603174603173142,0.30309734513267633,81.75116932
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3,1.3862943611198906,0.5601659751035556,0.4556038227627357,28.79941252
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7,2.0794415416798357,0.5601659751035556,0.4556038227627357,42.79577532
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,5.602118820879701,0.47999999999989895,0.0,42.131120456
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,3,1.3862943611198906,0.7496354142161408,0.32077581799580757,13.33446584
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,3,1.3862943611198906,0.8502381289192955,0.36447001708161336,12.47262084
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,3,1.3862943611198906,0.644961737615981,0.4498172192107779,27.42046052
339.0,0.0,0.0,197.0,0.0,968.0,781.0,28,3.367295829986474,0.5811209439526309,0.0,32.039949719999996
160.0,128.0,122.0,182.0,6.4,824.0,879.0,28,3.367295829986474,1.1374999999992892,0.6097560975608269,39.39665864
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,1.3862943611198906,0.36117647058815033,0.2000752870317711,33.398217439999996
323.7,282.8,0.0,183.8,10.3,942.7,659.9,3,1.3862943611198906,0.5678097003396455,0.46628194558937075,28.296095039999997
249.1,0.0,98.75,158.11,12.8,987.76,889.01,3,1.3862943611198906,0.6347250100358753,0.28388673278703924,15.361525279999999
401.8,94.7,0.0,147.4,11.4,946.8,852.1,3,1.3862943611198906,0.3668491786957773,0.1907351460221167,41.09966436
299.8,0.0,119.8,211.5,9.9,878.2,727.6,28,3.367295829986474,0.7054703135421263,0.2855100095328204,23.835874796
200.0,133.0,0.0,192.0,0.0,965.4,806.2,90,4.51085950651685,0.95999999999952,0.3993993993992795,43.25082948
480.0,0.0,0.0,192.0,0.0,936.2,712.2,7,2.0794415416798357,0.3999999999999167,0.0,34.569637164
255.0,0.0,0.0,192.0,0.0,889.8,945.0,7,2.0794415416798357,0.752941176470293,0.0,10.222171176
397.0,0.0,0.0,185.0,0.0,1040.0,734.0,28,3.367295829986474,0.4659949622165073,0.0,39.0932892
250.0,0.0,95.69,191.84,5.33,948.9,857.2,14,2.70805020110221,0.7673599999996931,0.2768087014376242,24.65566176
295.71,0.0,95.64,171.54,8.87,955.14,859.2,3,1.3862943611198906,0.5800953637007271,0.24438482177073098,22.94576128
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,4.51085950651685,0.8571428571425349,0.29999999999992105,47.029847436000004
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7,2.0794415416798357,0.5501432664754871,0.0,18.12632404
318.8,212.5,0.0,155.7,14.3,852.1,880.4,7,2.0794415416798357,0.48839397741515417,0.39996235648402034,33.398217439999996
375.0,93.8,0.0,126.6,23.4,852.1,992.6,7,2.0794415416798357,0.33759999999990997,0.20008532423203923,45.69846928
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,28,3.367295829986474,0.9375296068208567,0.49640673922752454,31.11605188
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,3,1.3862943611198906,1.010728528899056,0.5825106113545991,20.72564856
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,56,4.04305126783455,0.9927878787872771,0.46530995819680954,36.56291228
155.0,0.0,143.0,193.0,9.0,1047.0,697.0,28,3.367295829986474,1.2451612903217775,0.47986577181191953,12.45883132
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,28,3.367295829986474,0.7496916895410153,0.3199599610430906,32.66047812
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,28,3.367295829986474,0.7499999999996463,0.3705089375852573,38.500339839999995
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28,3.367295829986474,0.6283783783781661,0.0,25.17966352
148.0,0.0,137.0,158.0,16.0,1002.0,830.0,28,3.367295829986474,1.0675675675668463,0.48070175438579626,17.95395504
393.0,0.0,0.0,192.0,0.0,940.6,785.6,3,1.3862943611198906,0.4885496183204864,0.0,19.199148695999998
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,28,3.367295829986474,0.9927878787872771,0.46530995819680954,26.200088
148.0,0.0,182.0,181.0,15.0,839.0,884.0,28,3.367295829986474,1.2229729729721468,0.5515151515149844,15.520104759999999
200.0,133.0,0.0,192.0,0.0,965.4,806.2,3,1.3862943611198906,0.95999999999952,0.3993993993992795,11.414275179999999
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,3.367295829986474,0.36117647058815033,0.2000752870317711,60.2946762
500.0,0.0,0.0,151.0,9.0,1033.0,655.0,28,3.367295829986474,0.3019999999999396,0.0,69.83702404
250.0,0.0,95.69,187.42,5.53,956.86,861.17,14,2.70805020110221,0.7496799999997001,0.2768087014376242,24.91766264
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,56,4.04305126783455,0.570744680850912,0.0,36.3009114
277.0,0.0,0.0,191.0,0.0,968.0,856.0,180,5.198497031265826,0.6895306859203287,0.0,32.32952964
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,3.367295829986474,0.47999999999989895,0.0,39.28978986
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,56,4.04305126783455,0.5797467441103288,0.3061055899065497,66.82401392
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,28,3.367295829986474,0.8507294020953099,0.3405149051489362,25.72434956
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7,2.0794415416798357,0.5661538461536719,0.0,17.54026944
318.8,212.5,0.0,155.7,14.3,852.1,880.4,3,1.3862943611198906,0.48839397741515417,0.39996235648402034,25.2003478
359.0,19.0,141.0,154.0,10.91,942.0,801.0,3,1.3862943611198906,0.4289693593313568,0.30828516377643383,23.639177145812038
162.0,190.0,148.0,179.0,19.0,838.0,741.0,28,3.367295829986474,1.1049382716042564,0.6759999999998648,33.75674496
135.0,0.0,166.0,180.0,10.0,961.0,805.0,28,3.367295829986474,1.3333333333323458,0.5514950166111124,13.29309728
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,3,1.3862943611198906,0.8500087077669584,0.33969641214341656,13.35515012
249.1,0.0,98.75,158.11,12.8,987.76,889.01,100,4.61512051684126,0.6347250100358753,0.28388673278703924,51.0556978
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,28,3.367295829986474,0.8499804322299214,0.3396979441827439,24.483292759999998
366.0,187.0,0.0,191.0,7.0,824.0,757.0,28,3.367295829986474,0.5218579234971252,0.3381555153706441,65.90701084
289.0,0.0,0.0,192.0,0.0,913.2,895.3,28,3.367295829986474,0.6643598615914657,0.0,25.573354316
355.0,19.0,97.0,145.0,13.13,967.0,871.0,28,3.367295829986474,0.40845070422523705,0.24628450106151883,44.02993736
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56,4.04305126783455,0.7249181303955197,0.5507676670409911,32.8535314
